KO	Cycle	Pathway	Pathway_ID	Function	Gene_abbreviation	Enzyme
K00537	Arsenic	Arsenate reduction	Arsenate_reduction_arsC	Arsenate reduction	arsC	Arsenate reductase
K08356	Arsenic	Arsenite oxidation	Arsenite_oxidation_aoxB	Arsenite oxidation	aoxB	Arsenite oxidase
K00399	Carbon	Methanogenesis	Methanogenesis_MrcA	Methane production	mcrA	Methyl-coenzyme M reductase
K10944	Carbon 	Methanotrophy	Methanotrophy_pmoA	Methane oxidation	pmoA	Partculate methane monooxygenase
K01601	Carbon 	Carbon fixation	CBB_cycle_rbcL	CBB cycle	rbcL	RuBisCO
K15231	Carbon 	Carbon fixation	rTCA_cycle_aclB	rTCA cycle	aclB	ATP-citrate lyase
K15234	Carbon 	Carbon fixation	rTCA_cycle_II_ccl	rTCA cycle II	ccl	Citryl-CoA lyase
K14468	Carbon 	Carbon fixation	3HP_cycle_mcr	3HP	mcr	Malonyl-CoA reductase
K18593	Carbon 	Carbon fixation	3HP_4HB_HbsC	3HP/4HB	hbsT	4-hydroxybutyrate-CoA ligase (AMP-forming) - Thaumarchaeota
K18861	Carbon 	Carbon fixation	3HP_4HB_HbsT	3HP/4HB	hbsC	4-hydroxybutyrate-CoA ligase (AMP-forming) - Crenarchaeota
K14467	Carbon 	Carbon fixation	DC_4HB_4hbl	DC/4HB	4hbl	4-hydroxybutyrate-CoA ligase (AMP-forming)
K00198	Carbon 	Carbon fixation	WL_I_cooS	WL-I	cooS	Anaerobic carbon-monoxide dehydrogenase 
K00192	Carbon 	Carbon fixation	WL_II_cdhA	WL-II	cdhA	Anaerobic carbon-monoxide dehydrogenase - CODH/ACS complex
K03520	Carbon 	Aerobic CO oxidation	CO_oxidation_coxL	CO oxidation	coxL	Aerobic carbon-monoxide dehydrogenase
K00123	Carbon 	C1 oxidation	Formate_oxidation_fdhF	Formate oxidation	fdhF	Formate dehydrogenase
K14028	Carbon 	C1 oxidation	Methanol_oxidation_mxaF	Methanol oxidation	mxaF	Methanol dehydrogenase
K02689	Energy	Oxygenic photosynthesis	Oxygenic_photosynthesis_psaA	Oxygenic photosynthesis	psaA	Oxygenic photosystem I
K02703	Energy	Oxygenic photosynthesis	Oxygenic_photosynthesis_psbA	Oxygenic photosynthesis	psbA	Oxygenic photosystem II
K08940	Energy	Anoxygenic photosynthesis	Anoxygenic_photosynthesis_pscA	Anoxygenic photosynthesis	pscA	Anoxygenic photosystem P840
K00331	Energy	Oxidative phosphorilation	Oxidative_phosphorilation_nuoB	Oxidative phosphorilation	nuoB	NADH-quinone oxidoreductase
K00241	Energy	Oxidative phosphorilation	Oxidative_phosphorilation_sdhC	Oxidative phosphorilation	sdhC	Succinate dehydrogenase cytochrome b
